ssObjectId,diaSourceId,midPointTai,ra,decl
2013SJ112,45054,60288.0510740589,15.93312209806544,2.6612578223533947
2014QN441,45223,60288.13086906746,50.349163868845324,-3.3654274787193437
2014WD602,45897,60289.12264570809,13.751962152403166,-26.496900997617416
2014QN441,46402,60290.03676065888,50.309501237151494,-3.36572875993594
2014QN441,46429,60290.05024260102,50.30922418071759,-3.3657350171543325
2013SJ112,47132,60291.0602873636,15.912479255403696,2.6572926863315773
2013SJ112,47182,60291.08419120671,15.912339720768273,2.6572802574736083
2014QN441,47886,60292.08766089223,50.267756570805204,-3.3651197454692388
90377,47958,60292.12107839815,69.55678103436401,10.382739223704645
90377,48732,60293.163967358065,69.54566688684395,10.381873662128218
2014WD602,49211,60294.06578558971,13.712854359712935,-26.432097240324087
2014WD602,49216,60294.06823515493,13.71286809483945,-26.432070280207856
2014WD602,49261,60294.09061794262,13.712712884511063,-26.431741785601055
2014WD602,49266,60294.092978765046,13.712658635763148,-26.431712683689973
2014QN441,50683,60296.12456962831,50.18890392672813,-3.3609948357421326
2014QN441,51225,60297.062062721656,50.17128657624153,-3.3594884270663528
2014WD602,52559,60299.0580026942,13.684696808848969,-26.36116139746643
2014QN441,56036,60307.08092697928,50.000523689680506,-3.330750085009103
2014QN441,56037,60307.08137575126,50.000509012856696,-3.3307504617196804
90377,56130,60307.12593424108,69.4035935474077,10.375741193243984
2013SJ112,56864,60309.04195373735,15.855155767408974,2.662700170567113
90377,57595,60310.06226045255,69.375827913521,10.375761532357016
90377,57637,60310.08115846003,69.37564260708712,10.37576392932431
90377,57645,60310.08607379392,69.37559246988076,10.3757601637469
2014QN441,58926,60312.04474070899,49.92925205968692,-3.308093571816755
2014QN441,61684,60316.04222954905,49.87894876845917,-3.2859536875892106
2014WD602,62372,60317.03722288635,13.679312566475005,-26.06740068362974
90377,63827,60319.06952553817,69.29682968489169,10.378678039463132
90377,63877,60319.09385666794,69.29662248347205,10.378696875770775
90377,63878,60319.09430371338,69.29661444218709,10.378695682625478
2014QN441,64464,60320.04429853582,49.83535174759743,-3.260358680849691
2014QN441,64490,60320.057437026735,49.83521257842909,-3.2602635223758583
90377,68666,60326.04263571214,69.24331666059032,10.38394507649119
90377,68691,60326.05521375729,69.24321545469752,10.383956071427892
2014QN441,72196,60331.03597313833,49.752844521756515,-3.1736056026995594
2014QN441,72220,60331.04818937793,49.75277515910267,-3.1734885122424066
2014QN441,72221,60331.048638083754,49.75276500932341,-3.1734878745098865
2014QN441,73021,60332.081998380134,49.7479154083386,-3.1641861786323475
90377,78461,60340.12533850512,69.15982466109233,10.402271919540116
2014QN441,85807,60350.02545638923,49.74712936592573,-2.9757239258525034
2014QN441,85830,60350.03713583584,49.747184666255635,-2.975594338660042
c1,110479,60383.389321646966,246.13933845593513,9.081515357580967
c1,110498,60383.39916623602,246.13934251871945,9.081672792482562
c1,126565,60405.33825789419,245.93899188756836,9.458836004208115
c1,130222,60409.293561965525,245.8777309856858,9.522918177860555
c1,131187,60410.310708460594,245.86074030576967,9.539122098459337
c1,131237,60410.33450156471,245.86034730468737,9.539534890095938
c1,131268,60410.34844841647,245.86008893268485,9.539718727471966
c1,131309,60410.368127989525,245.85978145589172,9.540022588545567
c1,133071,60412.309195111055,245.82625832327767,9.570482623693616
c1,133121,60412.3334083648,245.82580596984224,9.57084303309528
c1,140925,60421.328417871184,245.65080690694555,9.704160310726106
